Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_name,Route_link
FlixBus,AC Seater (2+2),23:35,05:00,05h 25m,608.04,9 Seats available,"4.3
125",Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
RS YADAV SMART BUS,Bharat Benz A/C Seater /Sleeper (2+1),21:40,04:45,07h 05m,1199,14 Seats available,"3.9
37",Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
Vijay Tour and Travels,A/C Seater / Sleeper (2+1),01:40,06:20,04h 40m,849,18 Seats available,"3.0
74",Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
New Khaira TPT,AC Sleeper (2+1),20:30,02:50,06h 20m,900,16 Seats available,"4.3
13",Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
New Khaira Transport,A/C Seater / Sleeper (2+2),21:00,03:30,06h 30m,500,19 Seats available,"1.9
38",Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
Vijay Tour and Travels,A/C Seater / Sleeper (2+1),03:20,08:10,04h 50m,499,13 Seats available,"2.5
10",Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
FlixBus,Bharat Benz A/C Seater (2+2),17:15,22:25,05h 10m,315.18,27 Seats available,"3.7
40",Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
New Khaira Transport,A/C Seater / Sleeper (2+1),20:40,03:30,06h 50m,630,18 Seats available,"4.5
14",Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
SHRI RAM TRAVELS,A/C Seater (2+2),23:59,05:15,05h 16m,740,17 Seats available,"2.9
31",Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
SHRI RAM TRAVELS,A/C Seater (2+2),18:00,23:15,05h 15m,740,19 Seats available,"3.4
10",Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - STD0241,Ordinary Non AC Seater 2+3,04:30,17:46,13h 16m,870,52 Seats available,3.3,Delhi to Lucknow,https://www.redbus.in/bus-tickets/delhi-to-lucknow
UPSRTC - STD0304,Ordinary Non AC Seater 2+3,07:10,20:17,13h 07m,870,52 Seats available,3.3,Delhi to Lucknow,https://www.redbus.in/bus-tickets/delhi-to-lucknow
UPSRTC - NDD0245,Ordinary Non AC Seater 2+3,07:28,17:00,09h 32m,905,52 Seats available,3.3,Delhi to Lucknow,https://www.redbus.in/bus-tickets/delhi-to-lucknow
,,,,,,,,Delhi to Lucknow,https://www.redbus.in/bus-tickets/delhi-to-lucknow
,,,,,,,,Delhi to Lucknow,https://www.redbus.in/bus-tickets/delhi-to-lucknow
,,,,,,,,Delhi to Lucknow,https://www.redbus.in/bus-tickets/delhi-to-lucknow
,,,,,,,,Delhi to Lucknow,https://www.redbus.in/bus-tickets/delhi-to-lucknow
,,,,,,,,Delhi to Lucknow,https://www.redbus.in/bus-tickets/delhi-to-lucknow
,,,,,,,,Delhi to Lucknow,https://www.redbus.in/bus-tickets/delhi-to-lucknow
,,,,,,,,Delhi to Lucknow,https://www.redbus.in/bus-tickets/delhi-to-lucknow
FlixBus,Bharat Benz A/C Seater (2+2),23:50,05:20,05h 30m,675,6 Seats available,"4.1
98",Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
Vijay Tour and Travels,A/C Seater / Sleeper (2+1),17:00,23:20,06h 20m,949,34 Seats available,"3.3
84",Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
RS YADAV SMART BUS,Bharat Benz A/C Seater /Sleeper (2+1),23:59,05:55,05h 56m,1899,13 Seats available,"4.4
12",Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
FlixBus,AC Seater (2+2),15:00,20:30,05h 30m,579.46,7 Seats available,"4.2
56",Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
,,,,,,,,Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
UPSRTC - ALM0136,Shatabdi AC Seater 2+2,07:00,13:30,06h 30m,720,33 Seats available,3.3,Lucknow to Gorakhpur (uttar pradesh),https://www.redbus.in/bus-tickets/lucknow-to-gorakhpur
UPSRTC - UNG0026,Ordinary Non AC Seater 2+3,07:30,14:00,06h 30m,496,52 Seats available,3.3,Lucknow to Gorakhpur (uttar pradesh),https://www.redbus.in/bus-tickets/lucknow-to-gorakhpur
UPSRTC - UNG0028,Ordinary Non AC Seater 2+3,07:40,14:10,06h 30m,496,52 Seats available,3.3,Lucknow to Gorakhpur (uttar pradesh),https://www.redbus.in/bus-tickets/lucknow-to-gorakhpur
,,,,,,,,Lucknow to Gorakhpur (uttar pradesh),https://www.redbus.in/bus-tickets/lucknow-to-gorakhpur
,,,,,,,,Lucknow to Gorakhpur (uttar pradesh),https://www.redbus.in/bus-tickets/lucknow-to-gorakhpur
,,,,,,,,Lucknow to Gorakhpur (uttar pradesh),https://www.redbus.in/bus-tickets/lucknow-to-gorakhpur
,,,,,,,,Lucknow to Gorakhpur (uttar pradesh),https://www.redbus.in/bus-tickets/lucknow-to-gorakhpur
,,,,,,,,Lucknow to Gorakhpur (uttar pradesh),https://www.redbus.in/bus-tickets/lucknow-to-gorakhpur
,,,,,,,,Lucknow to Gorakhpur (uttar pradesh),https://www.redbus.in/bus-tickets/lucknow-to-gorakhpur
,,,,,,,,Lucknow to Gorakhpur (uttar pradesh),https://www.redbus.in/bus-tickets/lucknow-to-gorakhpur
UPSRTC - MNP0147,Ordinary Non AC Seater 2+3,00:45,03:34,02h 49m,280,52 Seats available,3.3,Delhi to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh
UPSRTC - MNP0121,Ordinary Non AC Seater 2+3,03:30,06:36,03h 06m,280,52 Seats available,3.3,Delhi to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh
UPSRTC - MNP0276,Ordinary Non AC Seater 2+3,03:50,06:56,03h 06m,280,52 Seats available,3.3,Delhi to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh
,,,,,,,,Delhi to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh
,,,,,,,,Delhi to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh
,,,,,,,,Delhi to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh
UPSRTC - LNI0126,Ordinary Non AC Seater 2+3,07:20,16:10,08h 50m,906,50 Seats available,3.3,Lucknow to Delhi,https://www.redbus.in/bus-tickets/lucknow-to-delhi
UPSRTC - LNI0321,Ordinary Non AC Seater 2+3,07:45,17:35,09h 50m,906,52 Seats available,3.3,Lucknow to Delhi,https://www.redbus.in/bus-tickets/lucknow-to-delhi
UPSRTC - PNG0153,Rajdhani Non AC Seater 2+3,07:55,21:00,13h 05m,875,51 Seats available,3.3,Lucknow to Delhi,https://www.redbus.in/bus-tickets/lucknow-to-delhi
,,,,,,,,Lucknow to Delhi,https://www.redbus.in/bus-tickets/lucknow-to-delhi
,,,,,,,,Lucknow to Delhi,https://www.redbus.in/bus-tickets/lucknow-to-delhi
,,,,,,,,Lucknow to Delhi,https://www.redbus.in/bus-tickets/lucknow-to-delhi
,,,,,,,,Lucknow to Delhi,https://www.redbus.in/bus-tickets/lucknow-to-delhi
,,,,,,,,Lucknow to Delhi,https://www.redbus.in/bus-tickets/lucknow-to-delhi
,,,,,,,,Lucknow to Delhi,https://www.redbus.in/bus-tickets/lucknow-to-delhi
,,,,,,,,Lucknow to Delhi,https://www.redbus.in/bus-tickets/lucknow-to-delhi
UPSRTC - FKP0030,Janrath AC Seater 2+2,09:00,17:55,08h 55m,760,34 Seats available,"3.6
11",Delhi to Farrukhabad (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-farrukhabad-up
UPSRTC - LNI0046,Ordinary Non AC Seater 2+3,09:30,18:35,09h 05m,562,52 Seats available,3.3,Delhi to Farrukhabad (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-farrukhabad-up
