Route_name,Route_link
Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan
Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur
Haldia to Kolkata,https://www.redbus.in/bus-tickets/haldia-to-kolkata
Kolkata to Haldia,https://www.redbus.in/bus-tickets/kolkata-to-haldia
Midnapore to Kolkata,https://www.redbus.in/bus-tickets/midnapore-to-kolkata
Kolkata to Arambagh (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-arambagh-west-bengal
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata
Kolkata to Bankura,https://www.redbus.in/bus-tickets/kolkata-to-bankura
Kolkata to Asansol (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-asansol
Kolkata to Midnapore,https://www.redbus.in/bus-tickets/kolkata-to-midnapore
Jhargram to Kolkata,https://www.redbus.in/bus-tickets/jhargram-to-kolkata
Kolkata to Contai (Kanthi),https://www.redbus.in/bus-tickets/kolkata-to-contai-kanthi
Kolkata to Nimtouri,https://www.redbus.in/bus-tickets/kolkata-to-nimtouri
Digha to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/digha-to-durgapur
Kolkata to Nandakumar (west bengal),https://www.redbus.in/bus-tickets/kolkata-to-nandakumar
Kirnahar (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/kirnahar-west-bengal-to-kolkata
Kolkata to Kolaghat,https://www.redbus.in/bus-tickets/kolkata-to-kolaghat
Kolkata to Mecheda (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-mecheda-west-bengal
Durgapur (West Bengal) to Barasat (West Bengal),https://www.redbus.in/bus-tickets/durgapur-to-barasat-west-bengal
Kolkata to Chandipur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-chandipur-west-bengal
Midnapore to Barasat (West Bengal),https://www.redbus.in/bus-tickets/midnapore-to-barasat-west-bengal
Berhampore (West Bengal) to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/berhampore-to-durgapur
Kolkata to Suri,https://www.redbus.in/bus-tickets/kolkata-to-suri
Durgapur (West Bengal) to Digha,https://www.redbus.in/bus-tickets/durgapur-to-digha
Durgapur (West Bengal) to Berhampore (West Bengal),https://www.redbus.in/bus-tickets/durgapur-to-berhampore
Purulia to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/purulia-to-durgapur
Digha to Barasat (West Bengal),https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal
Kolkata to Heria,https://www.redbus.in/bus-tickets/kolkata-to-heria
Illambazar to Kolkata,https://www.redbus.in/bus-tickets/illambazar-to-kolkata
Kolkata to Bajkul (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-bajkul-west-bengal
Kolkata to Debra,https://www.redbus.in/bus-tickets/kolkata-to-debra
Barasat (West Bengal) to Midnapore,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-midnapore
Kolkata to Ramnagar (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-ramnagar-west-bengal
Kolkata to Kirnahar (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-kirnahar-west-bengal
Kolkata to Jhargram,https://www.redbus.in/bus-tickets/kolkata-to-jhargram
Kolkata to Panskura,https://www.redbus.in/bus-tickets/kolkata-to-panskura
Berhampore (West Bengal) to Bolpur (West Bengal),https://www.redbus.in/bus-tickets/berhampore-to-bolpur-west-bengal
Durgapur (West Bengal) to Bankura,https://www.redbus.in/bus-tickets/durgapur-to-bankura
Kirnahar (West Bengal) to Burdwan,https://www.redbus.in/bus-tickets/kirnahar-west-bengal-to-burdwan
Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata
Futishanko to Kolkata,https://www.redbus.in/bus-tickets/futishanko-to-kolkata
